,FISCAL_YR,FISCAL_MTH,DEPT_NAME,DIV_NAME,MERCHANT,CAT_DESC,TRANS_DT,AMT
76,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,2016-06-30,21.07
77,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,2016-06-30,6.97
78,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SOUTHWES 5262427465337,AIRLINE,2016-06-30,418.0
80,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WESTIN SWAN,LODGING,2016-06-30,7.99
81,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,AUNTIE ANNE'S,FAST FOOD RESTAURANTS,2016-06-30,8.1
82,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,CONVENTION CENTER STORE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2016-06-30,9.87
83,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,COSMOPOLITAN HOLSTEIN'S,EATING PLACES RESTAURANTS,2016-06-30,22.63
84,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,PHILLY AIR AUBONPAIN 2,FAST FOOD RESTAURANTS,2016-06-30,10.97
85,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,ROSIE'S ALL-AMERICA,FAST FOOD RESTAURANTS,2016-06-30,12.34
86,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,2016-06-30,16.79
87,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,2016-06-30,8.7
88,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,USAIRWAYS 0372363730756,AIRLINE,2016-06-30,25.0
89,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,YELLOW CAB OF SAN ANTO,TRAVEL,2016-06-30,28.36
91,2017,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,HYATT HOTELS O'HARE F AND B,EATING PLACES RESTAURANTS,2016-06-30,11.0
92,2017,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,HYATT HOTELS O'HARE F AND B,EATING PLACES RESTAURANTS,2016-06-30,4.13
93,2017,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,RANDOLPH TAVERN,EATING PLACES RESTAURANTS,2016-06-30,45.68
95,2017,1,DEPT OF EDUCATION,ADVISORY COUNCIL,OFFICEMAX CT*IN#854733,OFFICE SCHOOL SUPPLY AND STATIONERY STORES,2016-07-01,68.56
96,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BAL*TITLEI.ORG,MISCELLANEOUS GENERAL MERCHANDISE,2016-07-01,250.0
97,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BAL*TITLEI.ORG,MISCELLANEOUS GENERAL MERCHANDISE,2016-07-01,482.0
98,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33790 ATL MRQ FB,LODGING,2016-07-01,29.0
99,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT RIVERBEND GRILL,LODGING,2016-07-01,21.76
100,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,TRAVEL TRADERS 0204,GIFT CARD NOVELTY AND SOUVENIR SHOPS,2016-07-01,8.44
101,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372363962891,AIRLINE,2016-07-01,25.0
102,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,XEROX CORPORATION/RBO,OFFICE PHOTOGRAPHIC PHOTOCOPY MICROFILM EQUIPMT,2016-07-01,148.36
103,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,COSMOPOLITAN BUFFET WSB,EATING PLACES RESTAURANTS,2016-07-01,41.08
104,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,PARADISO 37,EATING PLACES RESTAURANTS,2016-07-01,28.14
105,2017,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,GIBSONS ROSEMONT,EATING PLACES RESTAURANTS,2016-07-01,59.72
106,2017,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,HYATT HOTELS O'HARE F AND B,EATING PLACES RESTAURANTS,2016-07-01,20.33
107,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMAZON.COM,BOOK STORES,2016-07-02,420.42
109,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HILTON HOTELS CAPITAL,LODGING,2016-07-02,182.06
110,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HILTON HOTELS CAPITAL,LODGING,2016-07-02,47.2
111,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33787 COPLEY F AND B,LODGING,2016-07-02,6.9
112,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33790 ATL MARQUI,LODGING,2016-07-02,219.24
114,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33790 ATL MRQ FB,LODGING,2016-07-02,22.0
115,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PA ASSN FOR COLLEGE ADMIS,ORGANIZATIONS MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2016-07-02,45.0
116,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PAYPAL *PEACH FEST,ORGANIZATIONS CHARITABLE AND SOCIAL SERVICES,2016-07-02,125.0
117,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,FOOD COURT,GIFT CARD NOVELTY AND SOUVENIR SHOPS,2016-07-02,13.46
118,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,FRONTIER AI 4222606139383,AIRLINE,2016-07-02,20.0
119,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,MB CITIZENS,EATING PLACES RESTAURANTS,2016-07-02,14.06
120,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,ROMANO S GRILL10158400,EATING PLACES RESTAURANTS,2016-07-02,21.1
122,2017,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,HYATT HOTELS O'HARE,LODGING,2016-07-02,-28.03
123,2017,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,HYATT HOTELS O'HARE,LODGING,2016-07-02,363.64
124,2017,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,OHARE BAR AND GR20258539,EATING PLACES RESTAURANTS,2016-07-02,19.56
125,2017,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,PPA PHILADELPHIA AIRPORT,AUTOMOBILE PARKING LOTS AND GARAGES,2016-07-02,55.0
126,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BOS TAXI 0270,TRAVEL,2016-07-03,27.05
127,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,DOLRTREE 1563 00015636,VARIETY STORES,2016-07-03,219.0
128,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,GRANARY TAVERN,EATING PLACES RESTAURANTS,2016-07-03,21.99
129,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33790 ATL MARQUI,LODGING,2016-07-03,438.48
130,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT CHAMPIONS,LODGING,2016-07-03,23.5
131,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PMI BWI AIRPORT PARKNG,AUTOMOBILE PARKING LOTS AND GARAGES,2016-07-03,54.0
132,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PMI BWI AIRPORT PARKNG,AUTOMOBILE PARKING LOTS AND GARAGES,2016-07-03,55.0
133,2017,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,HYATT HOTELS O'HARE,LODGING,2016-07-03,168.37
134,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMTRAK .COM 1850653015005,TRAVEL,2016-07-04,185.0
135,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMTRAK .COM 1850653015013,TRAVEL,2016-07-04,-21.0
136,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMTRAK .COM 1850710066314,TRAVEL,2016-07-04,83.0
137,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMTRAK .COM 1850726055780,TRAVEL,2016-07-04,15.0
138,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,FAMILY DOLLAR #1766,VARIETY STORES,2016-07-04,5.0
141,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33787 COPLEY PL,LODGING,2016-07-04,24.0
142,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,LAS VEGAS SUPERSHUTTLE,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2016-07-05,-11.8
143,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,LAS VEGAS SUPERSHUTTLE,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2016-07-05,14.8
144,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,USAIRWAYS 0372364394873,AIRLINE,2016-07-05,25.0
145,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT GRAND CONV CTR F AND B,EATING PLACES RESTAURANTS,2016-07-06,11.91
146,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT GRAND CONV CTR F AND B,EATING PLACES RESTAURANTS,2016-07-06,2.5
147,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT GRAND CONV CTR F AND B,EATING PLACES RESTAURANTS,2016-07-06,5.03
148,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BOS TAXI 0824,TRAVEL,2016-07-07,45.9
149,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CAFFE GELATO,EATING PLACES RESTAURANTS,2016-07-07,200.0
150,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CAMBRIDGE 1,EATING PLACES RESTAURANTS,2016-07-07,30.5
151,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CHICK-FIL-A #02193,FAST FOOD RESTAURANTS,2016-07-07,13.76
152,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT GRAND CONV CTR F AND B,EATING PLACES RESTAURANTS,2016-07-07,8.25
153,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,LE'S RESTAURANT,EATING PLACES RESTAURANTS,2016-07-07,14.29
154,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,LIAISON HOTEL Q96,AUTOMOBILE PARKING LOTS AND GARAGES,2016-07-07,14.0
155,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARIA MIA MEXICAN BISTRO,EATING PLACES RESTAURANTS,2016-07-07,15.01
156,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,ROYAL FARMS #163,SERVICE STATIONS WITH OR WITHOUT ANCILLARY SERVICE,2016-07-07,7.02
157,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,TANJORE,EATING PLACES RESTAURANTS,2016-07-07,30.59
158,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,THE LIAISON CAPITOL HILL,LODGING,2016-07-07,-9.99
159,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,THE LIAISON CAPITOL HILL,LODGING,2016-07-07,14.99
160,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,THE LIAISON CAPITOL HILL,LODGING,2016-07-07,192.05
161,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USPS 09082005335430727,POSTAL SERVICES-GOVERNMENT ONLY,2016-07-07,19.47
162,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,VILLA PIZZA B - PHILLY,FAST FOOD RESTAURANTS,2016-07-07,7.11
163,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WEST WING CAFE III,FAST FOOD RESTAURANTS,2016-07-07,11.3
164,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WEST WING CAFE III,FAST FOOD RESTAURANTS,2016-07-07,9.88
165,2017,1,DEPT OF EDUCATION,ADVISORY COUNCIL,XEROX CORPORATION/RBO,OFFICE PHOTOGRAPHIC PHOTOCOPY MICROFILM EQUIPMT,2016-07-08,195.21
166,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMAZON.COM,BOOK STORES,2016-07-08,-179.0
168,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BVS FOOD AND BEV,EATING PLACES RESTAURANTS,2016-07-08,12.78
169,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,DD/BR 349240 Q35,FAST FOOD RESTAURANTS,2016-07-08,7.19
170,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,DOLRTREE 4195 00041954,VARIETY STORES,2016-07-08,81.0
171,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT GRAND CONV CTR F AND B,EATING PLACES RESTAURANTS,2016-07-08,13.3
172,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PENSKE TRK LSG 044610,CAR RENTAL,2016-07-08,91.0
173,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,STAPLS7120506640000001,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,2016-07-08,146.86
174,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372364766191,AIRLINE,2016-07-08,25.0
175,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USPS 09082005335430727,POSTAL SERVICES-GOVERNMENT ONLY,2016-07-08,12.98
176,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WAGAMAMA INC.,EATING PLACES RESTAURANTS,2016-07-08,16.64
177,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WAL-MART #1736,GROCERY STORES SUPERMARKETS,2016-07-08,174.87
178,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WWW.CSIET.ORG,ORGANIZATIONS CHARITABLE AND SOCIAL SERVICES,2016-07-08,550.0
179,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BAL*TITLEI.ORG,MISCELLANEOUS GENERAL MERCHANDISE,2016-07-09,241.0
180,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BAL*TITLEI.ORG,MISCELLANEOUS GENERAL MERCHANDISE,2016-07-09,250.0
181,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CREATESPACE,MISCELLANEOUS PUBLISHING AND PRINTING,2016-07-09,29.99
182,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CREATESPACE,MISCELLANEOUS PUBLISHING AND PRINTING,2016-07-09,3.59
183,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HARD ROCK SAN ANTONIO R,EATING PLACES RESTAURANTS,2016-07-09,16.35
184,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT GRAND CONV CTR F AND B,EATING PLACES RESTAURANTS,2016-07-09,10.25
185,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,VZWRLSS*IVR VB,TELECOM INCL PREPAID-RECURRING PHONE SVCS,2016-07-09,280.07
186,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WILMINGTON BLUE ROCKS LP,ATHLTIC FIELDS COMMRCL SPRT SPRT CLBS SPRT PROMOTR,2016-07-09,355.0
187,2017,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,COL PRKNG JSTCE CTR Q08,AUTOMOBILE PARKING LOTS AND GARAGES,2016-07-09,11.0
189,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,9 TASTES,EATING PLACES RESTAURANTS,2016-07-10,25.15
190,2017,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMAZON.COM,BOOK STORES,2016-07-10,203.94
